Grant Name,Funding Organization,Country/Region,Eligibility Criteria,Focus Areas,Grant Amount,Application Deadline,Duration,Website Link
"Application Deadline: EEF announces grant competitions regularly with specific deadlines. For example, an announcement on May 22, 2025, noted an extension for a grant competition under the Institutional Development Program for CSOs. The ""Towards the EU"" programme was launched on May 20, 2025.68 CSOs must monitor EEF's website for current calls.",,,,,,"EEF announces grant competitions regularly with specific deadlines. For example, an announcement on May 22, 2025, noted an extension for a grant competition under the Institutional Development Program for CSOs. The ""Towards the EU"" programme was launched on May 20, 2025.68 CSOs must monitor EEF's website for current calls.",Varies by program and grant.,https://eef.org.ua/en/.68
Contact: General contact information is available on the EEF website. Specific contacts are usually provided in individual grant announcements.,,,,,,,,
Prague Civil Society Centre,Institutional Grants for Ukrainian CSOs,,,,,,,
Funding Organization: Prague Civil Society Centre,Prague Civil Society Centre,Czech Republic/Ukraine,,"The program provides core institutional support to key local CSOs actively participating in reconstruction and recovery processes at a local level. The aim is to enable grantees to develop as institutions, sustain operations, and ensure local civil society representation in reconstruction. Activities may include increasing citizen engagement in recovery projects, monitoring local expenditures for reconstruction, supporting knowledge exchange between communities, and engaging foreign experts in planning and implementation.9 This is core support, not project-specific. 61. Civitates - Ukraine Solidarity Fund (Retrospective and Future Potential) Although Civitates' initial Ukraine Solidarity Fund (2022-2024) has concluded, the learning review of this initiative 69 offers valuable insights for both funders and CSOs. It highlighted the ""unique value"" of rapid, flexible, and streamlined funding processes in crisis situations, filling gaps that larger, more traditional donors often cannot. The fund's success in supporting marginalized communities and catalyzing further funding for some grantees underscores the impact of well-targeted, albeit smaller, grants. While Civitates currently cannot sustain such emergency funding due to other commitments, their stated intention to ""leverage additional funding and mobilise public and private donors for a collective response when attacks on democracy...arise"" 69 suggests that they remain a potential actor for future crisis response. Ukrainian CSOs and their European partners should remain aware of Civitates as an initiative that could reactivate or develop new mechanisms should the need and opportunity arise. 62. EVZ Foundation (Stiftung ""Erinnerung, Verantwortung und Zukunft"") - Ukraine Support The EVZ Foundation provides a unique blend of support focused on historical remembrance, reconciliation, and aid to specific vulnerable groups, particularly survivors of National Socialist persecution, while also addressing contemporary challenges faced by Ukraine.70 Their programs like ""YeMistechko"" (transforming cultural institutions) and ""local.history"" offer avenues for CSOs working in culture, education, and historical memory. The direct support for survivors, often channeled through partner networks like ""Kontakte-Kontakty,"" demonstrates a commitment to humanitarian aid within their specific mandate. Ukrainian CSOs whose work aligns with these thematic intersections—historical justice, cultural preservation, and support for elderly and war-traumatized populations—should explore EVZ's various funding streams. 63. Project Kesher Ukraine - Women's Opportunity Fund (WOF-UA) - FemAgro Program Project Kesher Ukraine's FemAgro program, under its Women's Opportunity Fund, specifically targets the empowerment of women in Ukraine's agricultural sector.71 This initiative combines intensive training with grant funding, aiming to equip women entrepreneurs with both knowledge and resources to develop their agricultural businesses. The focus on agriculture is significant given its role in Ukraine's economy. This program is an example of targeted support for women's economic empowerment within a key sector. Women entrepreneurs in agriculture, or CSOs supporting them, should monitor Project Kesher Ukraine for future cohorts or similar initiatives. 64. CRDF Global - Cybersecurity Improvement Grants for Ukrainian Governmental Authorities & Capacity Building Institutions This CRDF Global grant program, funded by the U.S. Department of State, addresses the critical need for cybersecurity enhancement within Ukrainian state bodies and potentially affiliated capacity-building institutions.72 While the primary targets appear to be governmental entities, CSOs that specialize in cybersecurity training, policy development, or provide significant capacity building to state institutions in this domain might explore eligibility or partnership opportunities. The grant focuses on tangible improvements such as equipment, software, and skills development, reflecting a practical approach to bolstering Ukraine's cyber defenses. 66. National Endowment for Democracy (NED) - Ukraine Grants The National Endowment for Democracy is a significant U.S.-based funder supporting democracy, human rights, and independent media worldwide, with a substantial portfolio in Ukraine.73 Despite some past discussions regarding its funding model and disclosure practices 73, NED continues to be a key source of support for Ukrainian CSOs working on democratic reforms, accountability, anti-corruption, human rights documentation, and independent media. Their grantmaking process typically involves quarterly reviews, and interested CSOs should consult NED's website for application guidelines and deadlines for upcoming cycles. The publication of FY2024 grant listings indicates a resumption of public disclosure, which can also provide insights into current funding priorities.74 67. Ford Foundation - Ukraine Support (via partners) The Ford Foundation's support for Ukraine, particularly in the immediate aftermath of the full-scale invasion, was channeled through large, established international organizations like the International Rescue Committee and the Open Society Foundations' Ukraine Democracy Fund.75 This approach suggests a strategy of leveraging the capacity and reach of major intermediaries for rapid and scaled response. While direct, unsolicited proposals to the Ford Foundation are generally less common 1.	LIFE Programme – Environment Grants 2.	Digital Europe Programme 3.	Justice Programme Grants (EU Justice Programme 2021–2027) 4.	EU Aid Volunteers Initiative – Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details). 5.	Internal Security Fund (ISF) Grants Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","The maximum grant amount was €37,000 for a 24-month period to cover necessary organizational needs. A second year of funding was subject to approval based on first-year results.9",,,
"Application Deadline: The deadline for the call detailed in the snippets was February 6, 2024.9 CSOs should monitor the Prague Civil Society Centre for future calls.",,,,,,"The deadline for the call detailed in the snippets was February 6, 2024.9 CSOs should monitor the Prague Civil Society Centre for future calls.","Up to 24 months, with a review after the first year.",https://praguecivilsociety.org/
Civitates,Ukraine Solidarity Fund (Retrospective and Future Potential),,,,,,,
Application Deadline: The Ukraine Solidarity Fund concluded at the end of 2024. Civitates states that sustaining emergency funding is not currently possible due to multi,,,,,,"The Ukraine Solidarity Fund concluded at the end of 2024. Civitates states that sustaining emergency funding is not currently possible due to multi-year commitments to existing grantees, but they ""will nevertheless continue to leverage additional funding and mobilise public and private donors for a collective response when attacks on democracy, the rule of law and civic space arise any time in Europe"".69",,https://civitates-eu.org/.
"EVZ Foundation (Stiftung ""Erinnerung, Verantwortung und Zukunft"")",Ukraine Support,,,,,,,
"Application Deadline: Varies by program. CSOs should monitor the EVZ Foundation website for specific calls. The Aid Network funding was until spring 2025. ""My Porutsch"" and ""YeMistechko"" are ongoing program areas.",,,,,,"Varies by program. CSOs should monitor the EVZ Foundation website for specific calls. The Aid Network funding was until spring 2025. ""My Porutsch"" and ""YeMistechko"" are ongoing program areas.","Project-based, some programs are multi-year.",https://www.stiftung-evz.de/en/topics/ukraine/.70
Project Kesher Ukraine,Women's Opportunity Fund (WOF-UA) - FemAgro Program,,,,,,,
"Application Deadline: The first cohort of winners was announced around June 3, 2025, after a three",,,,,,"The first cohort of winners was announced around June 3, 2025, after a three-month training period.71 Future cohort application dates would need to be monitored.",Program involves training phase followed by grant implementation.,https://www.projectkesher.org/.
CRDF Global,Cybersecurity Improvement Grants for Ukrainian Governmental Authorities & Capacity Building Institutions,,,,,,,
"Funding Organization: CRDF Global (U.S. Civilian Research and Development Foundation), with funding from the U.S. Department of State.","CRDF Global (U.S. Civilian Research and Development Foundation), with funding from the U.S. Department of State.",USA/Ukraine,,"Cybersecurity improvement, enhancement of material-technical base for cybersecurity, data protection and threat analysis, coordination and access to international analytical resources for information exchange, legislative work and standardization in cybersecurity. Activities can include provision of equipment/services/software, process optimization, implementation of security updates/measures, and qualification enhancement for employees.72 This CRDF Global grant program, funded by the U.S. Department of State, addresses the critical need for cybersecurity enhancement within Ukrainian state bodies and potentially affiliated capacity-building institutions.72 While the primary targets appear to be governmental entities, CSOs that specialize in cybersecurity training, policy development, or provide significant capacity building to state institutions in this domain might explore eligibility or partnership opportunities. The grant focuses on tangible improvements such as equipment, software, and skills development, reflecting a practical approach to bolstering Ukraine's cyber defenses. 66. National Endowment for Democracy (NED) - Ukraine Grants The National Endowment for Democracy is a significant U.S.-based funder supporting democracy, human rights, and independent media worldwide, with a substantial portfolio in Ukraine.73 Despite some past discussions regarding its funding model and disclosure practices 73, NED continues to be a key source of support for Ukrainian CSOs working on democratic reforms, accountability, anti-corruption, human rights documentation, and independent media. Their grantmaking process typically involves quarterly reviews, and interested CSOs should consult NED's website for application guidelines and deadlines for upcoming cycles. The publication of FY2024 grant listings indicates a resumption of public disclosure, which can also provide insights into current funding priorities.74 67. Ford Foundation - Ukraine Support (via partners) The Ford Foundation's support for Ukraine, particularly in the immediate aftermath of the full-scale invasion, was channeled through large, established international organizations like the International Rescue Committee and the Open Society Foundations' Ukraine Democracy Fund.75 This approach suggests a strategy of leveraging the capacity and reach of major intermediaries for rapid and scaled response. While direct, unsolicited proposals to the Ford Foundation are generally less common 1.	LIFE Programme – Environment Grants 2.	Digital Europe Programme 3.	Justice Programme Grants (EU Justice Programme 2021–2027) 4.	EU Aid Volunteers Initiative – Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details). 5.	Internal Security Fund (ISF) Grants Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","Up to $35,000 USD per applicant, subject to funding availability.72",,,
"Application Deadline: July 31, 2025, for the call described.72",,,,,,"July 31, 2025, for the call described.72",Project-based.,https://www.crdfglobal.org/funding-opportunities/cybersecurity-improvement-grants-for-%D1%81entral-governmental-authorities-and-%D1%81apacity-building-institutions-of-ukraine-%D0%B3%D1%80%D0%B0%D0%BD%D1%82%D0%B8-%D0%BD%D0%B0-%D0%BF%D0%BE%D0%BB/).72
HOLD ON: SetUp Edition Grant Wave Program (via Public Space / FundsforNGOs),,,,,,,,
"Funding Organization: Not explicitly named as the ultimate funder in the snippet, but the program is designed to support a network of youth centers/spaces. The information is aggregated by Public Space and FundsforNGOs.","Not explicitly named as the ultimate funder in the snippet, but the program is designed to support a network of youth centers/spaces. The information is aggregated by Public Space and FundsforNGOs.","Ukraine (specific communities in Zhytomyr, Kyiv, and Chernihiv regions).",,"Two lots: 66. National Endowment for Democracy (NED) - Ukraine Grants The National Endowment for Democracy is a significant U.S.-based funder supporting democracy, human rights, and independent media worldwide, with a substantial portfolio in Ukraine.73 Despite some past discussions regarding its funding model and disclosure practices 73, NED continues to be a key source of support for Ukrainian CSOs working on democratic reforms, accountability, anti-corruption, human rights documentation, and independent media. Their grantmaking process typically involves quarterly reviews, and interested CSOs should consult NED's website for application guidelines and deadlines for upcoming cycles. The publication of FY2024 grant listings indicates a resumption of public disclosure, which can also provide insights into current funding priorities.74 67. Ford Foundation - Ukraine Support (via partners) The Ford Foundation's support for Ukraine, particularly in the immediate aftermath of the full-scale invasion, was channeled through large, established international organizations like the International Rescue Committee and the Open Society Foundations' Ukraine Democracy Fund.75 This approach suggests a strategy of leveraging the capacity and reach of major intermediaries for rapid and scaled response. While direct, unsolicited proposals to the Ford Foundation are generally less common 1.	LIFE Programme – Environment Grants 2.	Digital Europe Programme 3.	Justice Programme Grants (EU Justice Programme 2021–2027) 4.	EU Aid Volunteers Initiative – Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details). 5.	Internal Security Fund (ISF) Grants Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","Maximum project proposal budget should not exceed 500,000 hryvnias.10",,,
"Application Deadline: June 17, 2025.10",,,,,,"June 17, 2025.10","Not specified, project-based.",https://www.prostir.ua/?grants=pidtrymka-molodizhnyh-tsentriv-molodizhnyh-prostoriv-ta-molodizhnyh-orhanizatsij-v-mezhah-hrantovoji-hvyli-trymaj-setup-edition).
National Endowment for Democracy (NED),Ukraine Grants,,,,,,,
Funding Organization: National Endowment for Democracy (NED),National Endowment for Democracy (NED),USA/Ukraine (and global),,"In Ukraine, NED funds independent media to support freedom of expression and access to credible information; organizations promoting democratic reforms, government accountability, and anti-corruption efforts; and human rights programs, including documentation of war crimes and other gross human rights abuses. Core values supported include free speech, religious liberty, open government, and the rule of law.73 The National Endowment for Democracy is a significant U.S.-based funder supporting democracy, human rights, and independent media worldwide, with a substantial portfolio in Ukraine.73 Despite some past discussions regarding its funding model and disclosure practices 73, NED continues to be a key source of support for Ukrainian CSOs working on democratic reforms, accountability, anti-corruption, human rights documentation, and independent media. Their grantmaking process typically involves quarterly reviews, and interested CSOs should consult NED's website for application guidelines and deadlines for upcoming cycles. The publication of FY2024 grant listings indicates a resumption of public disclosure, which can also provide insights into current funding priorities.74 67. Ford Foundation - Ukraine Support (via partners) The Ford Foundation's support for Ukraine, particularly in the immediate aftermath of the full-scale invasion, was channeled through large, established international organizations like the International Rescue Committee and the Open Society Foundations' Ukraine Democracy Fund.75 This approach suggests a strategy of leveraging the capacity and reach of major intermediaries for rapid and scaled response. While direct, unsolicited proposals to the Ford Foundation are generally less common 1.	LIFE Programme – Environment Grants 2.	Digital Europe Programme 3.	Justice Programme Grants (EU Justice Programme 2021–2027) 4.	EU Aid Volunteers Initiative – Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details). 5.	Internal Security Fund (ISF) Grants Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme",Varies widely based on project scope and NED's strategic priorities. NED's overall budget and regional allocations are subject to U.S. Congressional appropriations.,,,
Application Deadline: NED typically has quarterly board meetings where grant proposals are considered. Deadlines for proposal submission are usually several months in advance of these meetings. CSOs should check NED's website for the current cycle's deadlines. NED published its FY2024 active grants list in April 2025 after a temporary pause.73,,,,,,NED typically has quarterly board meetings where grant proposals are considered. Deadlines for proposal submission are usually several months in advance of these meetings. CSOs should check NED's website for the current cycle's deadlines. NED published its FY2024 active grants list in April 2025 after a temporary pause.73,"Project-based, often 12-24 months, but can vary.",https://www.ned.org/.
Contact: Via NED's website and proposal submission portal.,,,,,,,,
Ford Foundation,Ukraine Support (via partners),,,,,,,
Application Deadline: Not applicable for direct unsolicited proposals for Ukraine,,,,,,"Not applicable for direct unsolicited proposals for Ukraine-specific emergency funds mentioned. CSOs would typically engage with the intermediary partners funded by Ford (e.g., IRC, OSF/IRF). General Ford Foundation grant inquiries should follow guidelines on their website.76",Varies.,https://www.fordfoundation.org/.
LIFE Programme,Environment Grants,,,,,,,
"Funding Organization: European Commission (LIFE Programme managed by the European Climate, Infrastructure and Environment Executive Agency","European Commission (LIFE Programme managed by the European Climate, Infrastructure and Environment Executive Agency – CINEA) .",European Union Member States and certain associated countries. Ukraine is eligible since it joined the LIFE programme in 2024 .,,"Environment and climate action projects, including nature and biodiversity conservation, circular economy and pollution prevention, climate change mitigation and adaptation, and clean energy transition  . 2.	Digital Europe Programme 3.	Justice Programme Grants (EU Justice Programme 2021–2027) 4.	EU Aid Volunteers Initiative – Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details). 5.	Internal Security Fund (ISF) Grants Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","Projects are typically funded in the range of ~€1–5 million EU contribution each , covering up to 55–60% of project costs in general (or up to 75% for priority biodiversity projects)  .",,,
"Application Deadline: Annual calls. The 2025 call for LIFE opened on 24 April 2025, with proposal submission deadlines on 23 September 2025 for standard action projects (various sub",,,,,,"Annual calls. The 2025 call for LIFE opened on 24 April 2025, with proposal submission deadlines on 23 September 2025 for standard action projects (various sub-programmes)  . (Refer to the EU Funding & Tenders portal for specific deadlines by sub-programme.)",Project implementation is typically 3–5 years for standard LIFE projects .,LIFE Programme – EU Funding & Tenders Portal .
Digital Europe Programme,,,,,,,,
"Application Deadline: Multiple calls per year. Funding opportunities are released in periodic work programmes rather than rolling intake. For instance, the 2025",,,,,,"Multiple calls per year. Funding opportunities are released in periodic work programmes rather than rolling intake. For instance, the 2025–2027 work programme (budget €1.3 billion) opened calls in April 2025  – each call has its own deadline (often 2–4 months after call launch). Applicants should consult the EU Funding & Tenders portal for current call deadlines.","Multi-year projects are typical. Project durations commonly range around 2–4 years. (For example, a call under DIGITAL in 2024 specified a project duration of 48 months) .",Digital Europe Programme – Funding & Tenders Portal .
Justice Programme Grants (EU Justice Programme 2021,2027),,,,,,,
Funding Organization: European Commission (DG Justice and Consumers),"European Commission (DG Justice and Consumers) – part of the Justice, Rights and Values Fund of the EU .","EU Member States and eligible associated countries. Ukraine participates in the Justice Programme (association agreement signed 09 Jan 2024) , making Ukrainian organizations eligible alongside EU and certain Western Balkans countries for calls from 2023 onward.",,"Support for EU justice policy implementation – judicial cooperation in civil and criminal matters, training of judges and legal practitioners, improving access to justice for citizens and businesses, promoting the rule of law, rights of victims, and other topics strengthening Europe’s area of justice . (Projects often focus on mutual recognition of judgments, judicial training, cross-border legal cooperation, etc.) 4.	EU Aid Volunteers Initiative – Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details). 5.	Internal Security Fund (ISF) Grants Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","Varies. Action grants under the Justice Programme generally range from mid five-figures up to millions of euros, depending on the project scope. Proposals must typically request at least €100,000 in EU funding (no fixed upper limit per project) . For example, recent calls have allocated total budgets of a few million euros to be awarded across multiple projects (e.g. a 2025 judicial cooperation call had ~€5.9M available) . The EU grant awarded may be lower than the amount requested by applicants .",,,
"Application Deadline: Periodic calls (usually annual). Calls for proposals are published via annual work programmes. For example, the 2025 call for judicial cooperation projects opened in late 2024 with a submission deadline of 26 March 2025 . Future calls (2025 onward) will have their own deadlines as per the 2025",,,,,,"Periodic calls (usually annual). Calls for proposals are published via annual work programmes. For example, the 2025 call for judicial cooperation projects opened in late 2024 with a submission deadline of 26 March 2025 . Future calls (2025 onward) will have their own deadlines as per the 2025–2027 work programme. Always refer to the Funding & Tenders portal for current deadlines.","Projects typically run for 1–2 years. Usual project duration is 12 to 24 months, with a maximum of 36 months if duly justified . (Extensions beyond 36 months are only granted in exceptional cases.)",Justice Programme – European Commission page .
EU Aid Volunteers Initiative,Inactive (program concluded and integrated into a new scheme; see Expired/Inactive Programs appendix below for details).,,,,,,,
Internal Security Fund (ISF) Grants,,,,,,,,
Funding Organization: European Commission (DG Home Affairs). The Internal Security Fund 2021,European Commission (DG Home Affairs). The Internal Security Fund 2021–2027 is an EU fund with a €1.93 billion budget . Grants are managed either via EU-level calls (Union Actions) or by Member States’ national programmes.,,,,,,,
"Country/Region: Primarily European Union (all Member States participate). Associated countries generally do not directly partake in ISF, as it focuses on EU internal security. However, cooperation with non",,"Primarily European Union (all Member States participate). Associated countries generally do not directly partake in ISF, as it focuses on EU internal security. However, cooperation with non-EU countries is possible within projects – e.g. exchanging information or joint operations with neighboring countries’ authorities . (Ukrainian entities could be involved as partners in certain security projects if this adds value and is allowed by the call, especially given objectives to cooperate with non-EU countries on security .)",,"Security and crime prevention within Europe. ISF aims to ensure a high level of security in the EU – notably by preventing and combating terrorism, radicalisation, serious and organised crime, and cybercrime, and by assisting and protecting victims of crime, as well as preparedness for and management of security-related risks and crises . Key objectives include improving information exchange among law enforcement, boosting cross-border cooperation (e.g. joint operations), and enhancing capabilities to tackle crime and terrorism . Expired / Inactive Funding Programmes Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","Varies by call. EU contribution per project typically ranges from mid-six figures to a few million euros. For example, a 2024 ISF call for protecting public spaces required EU grant requests between €500,000 and €3,000,000 per project . The EU usually funds up to 90% of project costs (see co-funding below), so beneficiaries may need to cover roughly 10%. Total budgets available per call can be several million euros, divided among successful proposals.",,,
